0.019,0.215,0.059,0.101,0.109,0.271,0.006,0.109,0.082,0.0084,0.094,0.045,0.0051
0.088,0.362,0.084,0.113,0.224,0.35,0.086,0.187,0.105,0.072,0.107,0.097,0.046
0.101,0.441,0.104,0.134,0.262,0.397,0.156,0.234,0.289,0.134,0.336,0.249,0.159
0.272,0.483,0.224,0.302,0.325,0.459,0.286,0.425,0.341,0.249,0.429,0.395,0.267
0.398,0.489,0.254,0.408,0.437,0.492,0.365,0.564,0.383,0.326,0.578,0.527,0.331
0.465,0.489,0.426,0.484,0.571,0.64,0.417,0.602,0.467,0.544,0.679,0.745,0.468
0.635,0.533,0.561,0.571,0.658,0.674,0.663,0.756,0.533,0.727,0.734,0.759,0.553
0.695,0.62,0.736,0.673,0.771,0.695,0.698,0.824,0.592,0.768,0.752,0.806,0.603
0.802,0.625,0.761,0.778,0.793,0.722,0.739,0.84,0.663,0.788,0.769,0.829,0.687
0.806,0.633,0.779,0.782,0.811,0.731,0.745,0.842,0.674,0.796,0.772,0.834,0.692
